Event Type,Timestamp,Address,Hostname,Port,Hostname Resolve Retries,Total Successful Probes,Total Unsuccessful Probes,Never Succeed Probe,Never Failed Probe,Last Successful Probe,Last Unsuccessful Probe,Total Packets,Total Packet Loss,Total Uptime,Total Downtime,Longest Uptime,Longest Uptime Start,Longest Uptime End,Longest Downtime,Longest Downtime Start,Longest Downtime End,Latency Min,Latency Avg,Latency Max,Start Time,End Time,Total Duration
statistics,2024-10-28 01:08:51.062,142.250.192.46,google.com,80,0,123,5,false,false,2024-10-28 01:08:50.645,2024-10-28 01:06:55.644,128,3.91,2m3s,5s,1m54.417312208s,2024-10-28 01:06:56.644,2024-10-28 01:08:51.061,4.999738708s,2024-10-28 01:06:51.644,2024-10-28 01:06:56.644,21.771,46.909,806.623,2024-10-28 01:06:43.643,2024-10-28 01:08:51.062,2m7.417743708s
hostname change,2024-10-28 01:06:43.643,142.250.192.46,,,,,,,,,,,,,,,,,,,,,,,,,
